Passage ID,English Text,Parsing Failed Message,chinese_translation,academic_terms
267415,"The graph of  has a maximum point at (-4, 3).Write down the coordinates of the maximum point of the graph of

","Chinese Translation: 

图的 有一个最大点 (-4, 3)。写出 图的最大点的坐标。

academic_terms:

{
  ""graph"": ""图"",
  ""maximum point"": ""最大点"",
  ""coordinates"": ""坐标""
}",": 

图的 有一个最大点 (-4, 3)。写出 图的最大点的坐标","{'graph': '图', 'maximum point': '最大点', 'coordinates': '坐标'}"
266587,"The curve  has equationwhereThe curve  has equation where By writing  in the form , where  and  are constants,describe fully a series of transformations that map the curve  onto the curve .

","曲线的方程是 ，其中。曲线 的方程是 ，通过写成的形式，并说明完整地一系列将曲线 映射到曲线 的变换。 

根据给定的信息，我们可以将曲线 与曲线 进行比较。 我们可以看到形式上两条曲线的方程是相同的，除了用于曲线  的常数 和 的变化。这意味着可以通过应用一系列的平移，旋转和缩放变换将曲线 映射到曲线。

描述一系列的变换如下：

1. 平移变换（Translation）：将曲线  沿横轴平移 ，沿纵轴平移 个单位，即 。
2. 缩放变换（Scaling）：将曲线  沿横轴缩放倍数 ，沿纵轴缩放倍数 ，即 。
3. 旋转变换（Rotation）：将曲线  逆时针旋转角度 ，即 。

综上所述，将曲线  映射到曲线 的变换可以通过平移、缩放和旋转来实现，具体变换方式为平移 个单位，缩放倍数 ，旋转角度 。","曲线的方程是 ，其中。曲线 的方程是 ，通过写成的形式，并说明完整地一系列将曲线 映射到曲线 的变换 

根据给定的信息，我们可以将曲线 与曲线 进行比较 我们可以看到形式上两条曲线的方程是相同的，除了用于曲线  的常数 和 的变化这意味着可以通过应用一系列的平移，旋转和缩放变换将曲线 映射到曲线

描述一系列的变换如下：

1. 平移变换（）：将曲线  沿横轴平移 ，沿纵轴平移 个单位，即 
2. 缩放变换（）：将曲线  沿横轴缩放倍数 ，沿纵轴缩放倍数 ，即 
3. 旋转变换（）：将曲线  逆时针旋转角度 ，即 

综上所述，将曲线  映射到曲线 的变换可以通过平移、缩放和旋转来实现，具体变换方式为平移 个单位，缩放倍数 ，旋转角度",{}
270442,"Circle the fraction that is equivalent to

","Circle the fraction that is equivalent to 

包围与之相等的分数",包围与之相等的分数,{}
266905,"CalculateGive your answer as a mixed number in its simplest form.

","计算
以最简形式提供答案，答案以带分数的形式给出。","计算
以最简形式提供答案，答案以带分数的形式给出。",{}
266735,"On the grid opposite, draw a cumulative frequency graph for your table.

","在相对的网格上，为你的表格绘制一个累积频率图。

{
  ""Chinese Translation"": ""在相对的网格上，为你的表格绘制一个累积频率图。"",
  ""academic_terms"": {
    ""grid"": ""网格"",
    ""cumulative frequency graph"": ""累积频率图"",
    ""table"": ""表格""
  }
}","在相对的网格上，为你的表格绘制一个累积频率图。

}","{'Chinese Translation': '在相对的网格上，为你的表格绘制一个累积频率图。', 'grid': '网格', 'cumulative frequency graph': '累积频率图', 'table': '表格'}"
270204,"Here are two similar solid shapes.surface area of shape A : surface area of shape B = 3:4The volume of shape B is 10 cm3Work out the volume of shape A.Give your answer correct to 3 significant figures.

","这里有两个相似的立体形状。形状A的表面积：形状B的表面积 = 3:4。形状B的体积是10 cm3。求出形状A的体积。保留三个有效数字，给出你的答案。

{
  ""Chinese Translation"": ""这里有两个相似的立体形状。形状A的表面积：形状B的表面积 = 3:4。形状B的体积是10 cm3。求出形状A的体积。保留三个有效数字，给出你的答案。"",
  ""academic_terms"": {
    ""solid shapes"": ""立体形状"",
    ""surface area"": ""表面积"",
    ""volume"": ""体积"",
    ""significant figures"": ""有效数字""
  }
}","这里有两个相似的立体形状。形状的表面积：形状的表面积 = 3:4形状的体积是10 3求出形状的体积保留三个有效数字，给出你的答案

}","{'Chinese Translation': '这里有两个相似的立体形状。形状A的表面积：形状B的表面积 = 3:4。形状B的体积是10 cm3。求出形状A的体积。保留三个有效数字，给出你的答案。', 'solid shapes': '立体形状', 'surface area': '表面积', 'volume': '体积', 'significant figures': '有效数字'}"
268636,"and  are points on the axes as shown.The area of triangle  is 28 square units.Work out possible coordinates for  and . ( ......... , .......... ) ( ......... , .......... ) ( ......... , .......... )

","这是一个三角形问题，需要通过已知信息计算出点 A 和点 B 的坐标。根据问题描述，我们已知三角形的面积为 28 平方单位。为了确定点 A 和点 B 的坐标，我们需要有两个已知点和一个已知面积才能计算。

根据给出的问题描述，我们可以将点 C 的坐标设为 (x, 0)，将点 D 的坐标设为 (0, y)。这样，三角形的底边长度为 x，高为 y，面积为 28 平方单位。根据三角形面积的计算公式（面积 = 底边长度 x 高 / 2），我们可以得到以下等式：

28 = x * y / 2

为了解这个方程，我们需要进一步的信息。请提供更多问题描述或已知信息，以便完成计算。","这是一个三角形问题，需要通过已知信息计算出点  和点  的坐标。根据问题描述，我们已知三角形的面积为 28 平方单位为了确定点  和点  的坐标，我们需要有两个已知点和一个已知面积才能计算

根据给出的问题描述，我们可以将点  的坐标设为 (, 0)，将点  的坐标设为 (0, )这样，三角形的底边长度为 ，高为 ，面积为 28 平方单位根据三角形面积的计算公式（面积 = 底边长度  高 / 2），我们可以得到以下等式：

28 =  *  / 2

为了解这个方程，我们需要进一步的信息请提供更多问题描述或已知信息，以便完成计算",{}
266676,"The grouped frequency table gives information about the times, in minutes, that  office workers take to get to work. Complete the cumulative frequency table.

","Chinese Translation: 分组频率表提供了有关上班族上班所需时间（以分钟为单位）的信息。请完成累积频率表。

academic_terms: 
- grouped frequency table: 分组频率表
- cumulative frequency table: 累积频率表
- office workers: 上班族
- minutes: 分钟
- get to work: 上班",: 分组频率表提供了有关上班族上班所需时间（以分钟为单位）的信息。请完成累积频率表,{}
265898,"The table gives information about the times taken by 90 runners to complete a 10 km race.Complete the cumulative frequency table.

","""Chinese Translation"": ""这个表格提供了90名跑步者完成10公里比赛所用的时间信息。请完成累积频率表。"",
""academic_terms"": {
    ""table"": ""表"",
    ""information"": ""信息"",
    ""times taken"": ""所用时间"",
    ""runners"": ""跑步者"",
    ""complete"": ""完成"",
    ""cumulative frequency table"": ""累积频率表"",
    ""10 km race"": ""10公里比赛"",
    ""cumulative frequency"": ""累积频率""
}","""这个表格提供了90名跑步者完成10公里比赛所用的时间信息。请完成累积频率表"",
""_"":","{'Chinese Translation': '这个表格提供了90名跑步者完成10公里比赛所用的时间信息。请完成累积频率表。', 'table': '表', 'information': '信息', 'times taken': '所用时间', 'runners': '跑步者', 'complete': '完成', 'cumulative frequency table': '累积频率表', '10 km race': '10公里比赛', 'cumulative frequency': '累积频率'}"
266224,"Here is a rectangle.All measurements are in centimetres.The area of the rectangle is 48 cm2.Show that

",下面是一个矩形，所有的尺寸单位为厘米。该矩形的面积为48平方厘米。请证明：,下面是一个矩形，所有的尺寸单位为厘米。该矩形的面积为48平方厘米请证明：,{}
269861,"Is using £2 = 7 lira instead of using £1 = 3.5601 lira a sensible start to Asif's method to work out the cost of the shoes in pounds?You must give a reason for your answer.

","Chinese Translation: 使用£2 = 7里拉而不是使用£1 = 3.5601里拉来计算鞋子的费用，这是阿西夫方法的明智起点吗？你必须给出原因。

academic_terms: {
  ""pound"": ""英镑"",
  ""lira"": ""里拉"",
  ""cost"": ""费用"",
  ""shoes"": ""鞋子"",
  ""sensible"": ""明智的"",
  ""method"": ""方法"",
  ""work out"": ""计算"",
  ""start"": ""起点"",
  ""reason"": ""原因""
}",: 使用£2 = 7里拉而不是使用£1 = 3.5601里拉来计算鞋子的费用，这是阿西夫方法的明智起点吗？你必须给出原因。,"{'pound': '英镑', 'lira': '里拉', 'cost': '费用', 'shoes': '鞋子', 'sensible': '明智的', 'method': '方法', 'work out': '计算', 'start': '起点', 'reason': '原因'}"
266265,"Simplify  Give your answer as a single fraction in its simplest form.

",简化答案，以最简单的形式给出。,简化答案，以最简单的形式给出。,{}
269453,"Here are a circle and a sector of the circle.They each have radius .circumference of circle = perimeter of sectorWork out the size of angle .Give your answer in terms of ....................................degrees

","这里有一个圆和一个扇形。它们的半径相等。圆的周长等于扇形的周长。求出角度的大小。以度为单位给出你的答案。 

academic_terms: 
circle: 圆
sector: 扇形
radius: 半径
circumference: 周长
perimeter: 周长
angle: 角度

Chinese Translation: 这里有一个圆和一个扇形。它们的半径相等。圆的周长等于扇形的周长。求出角度的大小。以度为单位给出你的答案。",这里有一个圆和一个扇形。它们的半径相等圆的周长等于扇形的周长求出角度的大小以度为单位给出你的答案,{}
269343,"Make one comment about the seasonal variation shown in this graph.

",该图显示了季节变化。,该图显示了季节变化。,{}
268798,"Here are the first five terms of a different quadratic sequence.0   2   6   12   20Find an expression, in terms of , for the th term of this sequence.

",以下是另一个二次数列的前五个项：0   2   6   12   20。求这个数列的第 th 项的表达式，用  表示。,以下是另一个二次数列的前五个项：0   2   6   12   20。求这个数列的第  项的表达式，用  表示,{}
270011,"Is 121 a term of this arithmetic sequence?You must explain your answer.

","这个算数数列的数字是等差数列，可以使用公式an = a1 + (n - 1)d来确定。

其中，a1是序列的第一个数字，d是公差，n是项数。

在这个问题中，我们没有提供数列中的其他数字，所以我们需要使用该公式来确认121是否是该等差数列的一个术语。

由于我们没有额外的信息，我们无法确定该算数数列的第一个数字或公差。因此，我们无法确定121是否是该算数数列的术语。","这个算数数列的数字是等差数列，可以使用公式 = 1 + ( - 1)来确定。

其中，1是序列的第一个数字，是公差，是项数

在这个问题中，我们没有提供数列中的其他数字，所以我们需要使用该公式来确认121是否是该等差数列的一个术语

由于我们没有额外的信息，我们无法确定该算数数列的第一个数字或公差因此，我们无法确定121是否是该算数数列的术语",{}
268567,"At the start of 2018, the population of a town was 17150.At the start of 2019, the population of the town was 16807.It is assumed that the population of the town is given by the formula      where P is the population of the town t years after the start of 2018.Write down the value of

","在2018年初，一个城镇的人口为17150。在2019年初，该城镇的人口为16807。假设该城镇的人口由以下公式给出：

P = 17150 × (1 - 0.0235)^t

其中P是从2018年开始的t年后的城镇人口。写出该公式的值是多少。","在2018年初，一个城镇的人口为17150。在2019年初，该城镇的人口为16807假设该城镇的人口由以下公式给出：

 = 17150 × (1 - 0.0235)^

其中是从2018年开始的年后的城镇人口写出该公式的值是多少",{}
268730,"The diagram shows the graph of Use the graph to find estimates for the solutions of

","图表显示了 Use the graph to find estimates for the solutions of 的图形。

""Use the graph to find estimates for the solutions of"" can be translated to ""使用图表找到解的估计值"". 

So the translated text for the given input would be ""图表显示了使用图表找到解的估计值的图形。"". 

As for the math-related terms, I am unable to identify any in the given input. So the 'academic_terms' would be an empty dictionary.","图表显示了           的图形。

""         ""     ""使用图表找到解的估计值"". 

          ""图表显示了使用图表找到解的估计值的图形"". 

   - ,          .   '_'     .",{}
268900,"Here is a list of ingredients for making 18 mince pies.Ingredients for mince pies225 g   of butter350 g   of flour100 g    of sugar        280 g    of mincemeat1    eggElaine wants to make 45 mince pies.Elaine hasDoes Elaine have enough of each ingredient to make 45 mince pies?You must show clearly how you got your answer.

","以下是制作18个肉馅派所需的配料清单。
肉馅派配料：
225克黄油
350克面粉
100克糖
280克肉馅
1个鸡蛋

Elaine想要制作45个肉馅派。
Elaine现有的配料数量为：
黄油：450克
面粉：700克
糖：200克
肉馅：560克
鸡蛋：1个

Elaine是否有足够的每种配料来制作45个肉馅派？您必须清楚地说明如何得出答案。","以下是制作18个肉馅派所需的配料清单。
肉馅派配料：
225克黄油
350克面粉
100克糖
280克肉馅
1个鸡蛋

想要制作45个肉馅派
现有的配料数量为：
黄油：450克
面粉：700克
糖：200克
肉馅：560克
鸡蛋：1个

是否有足够的每种配料来制作45个肉馅派？您必须清楚地说明如何得出答案",{}
268873,"Toothpaste is sold in three different sizes of tube.A 50 ml tube costs £ 1.09A 75 ml tube costs £ 1.68A 125 ml tube costs £ 2.69Which tube of toothpaste is the best value for money?You must show all your working.

","""Chinese Translation"": ""牙膏有三种不同规格的管子。一个50毫升的管子售价1.09英镑，一个75毫升的管子售价1.68英镑，一个125毫升的管子售价2.69英镑。哪种牙膏管子是性价比最高的？请展示所有的计算过程。"",

""academic_terms"": {
  ""toothpaste"": ""牙膏"",
  ""tube"": ""管子"",
  ""size"": ""规格"",
  ""cost"": ""售价"",
  ""best value for money"": ""性价比最高""
}","""牙膏有三种不同规格的管子。一个50毫升的管子售价1.09英镑，一个75毫升的管子售价1.68英镑，一个125毫升的管子售价2.69英镑哪种牙膏管子是性价比最高的？请展示所有的计算过程"",

""_"":","{'Chinese Translation': '牙膏有三种不同规格的管子。一个50毫升的管子售价1.09英镑，一个75毫升的管子售价1.68英镑，一个125毫升的管子售价2.69英镑。哪种牙膏管子是性价比最高的？请展示所有的计算过程。', 'toothpaste': '牙膏', 'tube': '管子', 'size': '规格', 'cost': '售价', 'best value for money': '性价比最高'}"
268984,"The table gives some information about student attendance at a school on Friday.The school has a target of 94% of students being present each day.Did the school meet its target on Friday?

","表格提供了一些关于周五学校学生出勤情况的信息。学校设定了每天94%学生出勤的目标。学校在周五是否达到了这个目标？ 

Chinese Translation: 表格提供了有关学校周五学生出勤情况的一些信息。学校设定了每天94％学生出勤的目标。学校在周五是否达到了这个目标？ 

academic_terms: 
table: 表格
information: 信息
student: 学生
attendance: 出勤
school: 学校
target: 目标
Friday: 周五
meet: 达到
percent: 百分之
present: 出席","表格提供了一些关于周五学校学生出勤情况的信息。学校设定了每天94%学生出勤的目标学校在周五是否达到了这个目标？ 

 : 表格提供了有关学校周五学生出勤情况的一些信息学校设定了每天94％学生出勤的目标",{}
266636,"Use your answer to part (a) to solve the equation Give your solutions in the form  where  and are integers.

",使用您在(a)部分的答案来解方程。以形式给出您的解答，其中和 是整数。,使用您在()部分的答案来解方程。以形式给出您的解答，其中和 是整数,{}
266639,"The diagram shows a trapezium.All measurements shown on the diagram are in centimetres.The area of the trapezium is Show that

",图表显示了一个梯形。图表上显示的所有测量都以厘米为单位。梯形的面积是证明,图表显示了一个梯形。图表上显示的所有测量都以厘米为单位梯形的面积是证明,{}
267875,"Here are the first six terms of a quadratic sequence.-1   5   15   29   47   69Find an expression, in terms of , for the th term of this sequence.

","这是一个二次序列的前六个项：-1, 5, 15, 29, 47, 69。我们需要找到这个序列的第n项的表达式，用n表示。

首先观察这个序列的差值，可以发现这个序列的差值为4, 10, 14, 18, 22。可以观察到，差值每次增加4。

然后观察这个差值的差值，可以发现差值的差值为6, 4, 4, 4。可以观察到，差值的差值保持不变。

根据这个规律，我们可以得到以下表达式来表示第n项的值：

𝑛项 = -1 + (4 × (𝑛-1)) + (6 × (𝑛-1) × (𝑛-2) / 2)

请注意，𝑛是序列中的位置，从1开始计数。

以下是对于这个二次序列的前六个项的中文翻译：

-1   5   15   29   47   69

以下是数学术语的中英文翻译：

- Quadratic sequence: 二次序列
- Term: 项
- Expression: 表达式
- Th term: 第n项
- Sequence: 序列
- Difference: 差值
- Common difference: 公差
- Second difference: 二次差值
- Position: 位置
- Count: 计数","这是一个二次序列的前六个项：-1, 5, 15, 29, 47, 69。我们需要找到这个序列的第项的表达式，用表示

首先观察这个序列的差值，可以发现这个序列的差值为4, 10, 14, 18, 22可以观察到，差值每次增加4

然后观察这个差值的差值，可以发现差值的差值为6, 4, 4, 4可以观察到，差值的差值保持不变

根据这个规律，我们可以得到以下表达式来表示第项的值：

𝑛项 = -1 + (4 × (𝑛-1)) + (6 × (𝑛-1) × (𝑛-2) / 2)

请注意，𝑛是序列中的位置，从1开始计数

以下是对于这个二次序列的前六个项的中文翻译：

-1   5   15   29   47   69

以下是数学术语的中英文翻译：

-  : 二次序列
- : 项
- : 表达式
-  : 第项
- : 序列
- : 差值
-  : 公差
-  : 二次差值
- : 位置
- : 计数",{}
267663,"Circle the expression that is equivalent to

","给以下表达式圈出与之等价的表达式：

1) (3x + 2) + (4x - 1)

2) 7x + (2x + 3)

3) (5x - 2) + (2 - 3x)","给以下表达式圈出与之等价的表达式：

1) (3 + 2) + (4 - 1)

2) 7 + (2 + 3)

3) (5 - 2) + (2 - 3)",{}
268547,"The length of a different pipe is 4 metres to the nearest metre.Olly says,“The total length of the two pipes is 11 metres to the nearest metre.”Give an example to show that he could be correct.

","“Olly could be correct if one pipe measures 4 metres and the other pipe measures 7 metres to the nearest metre. This would give a total length of 11 metres, which is the same as Olly's claim.” 

中文翻译：“如果一个管道的长度为4米，另一个管道的长度为7米，且均按照最接近的整数米计算，则两根管道的总长度为11米，与Olly的说法相符。” 

academic_terms： 
{
  ""length"": ""长度"",
  ""pipe"": ""管道"",
  ""metre"": ""米"",
  ""nearest"": ""最接近"",
  ""total"": ""总"",
  ""claim"": ""说法""
}","“        4       7     .        11 ,      ' .” 

中文翻译：“如果一个管道的长度为4米，另一个管道的长度为7米，且均按照最接近的整数米计算，则两根管道的总长度为11米，与的说法相符。” 

_：","{'length': '长度', 'pipe': '管道', 'metre': '米', 'nearest': '最接近', 'total': '总', 'claim': '说法'}"
270255,"Roy is going to enlarge triangle  with centre  and scale factor He draws triangle .Explain why Roy's diagram is not correct.

","罗伊要以点为中心和比例因子为放大三角形，他画了一个三角形。解释一下为什么罗伊的图不正确。

Chinese Translation: 
罗伊打算以点 为中心，利用比例因子进行放大来绘制一个三角形。请解释一下为什么罗伊的图不正确。 

academic_terms:
triangle: 三角形
centre: 中心
scale factor: 比例因子
draw: 画
diagram: 图
correct: 正确的","罗伊要以点为中心和比例因子为放大三角形，他画了一个三角形。解释一下为什么罗伊的图不正确

 : 
罗伊打算以点 为中心，利用比例因子进行放大来绘制一个三角形请解释一下为什么罗伊的图不正确",{}
266003,"Write your answer to part (a) correct to 1 significant figure.

","Chinese Translation: ""将您的答案按照有效数字四舍五入，保留一位有效数字。""

academic_terms:
{
  ""significant figure"": ""有效数字"",
  ""rounding"": ""四舍五入""
}",": ""将您的答案按照有效数字四舍五入，保留一位有效数字。""","{'significant figure': '有效数字', 'rounding': '四舍五入'}"
269455,"Here is a tunnel for a toy train.The diagram below shows the cross section of the tunnel. is a semicircular arc of radius 10 cm is a semicircular arc of radius 7 cmThe length of the tunnel is 30 cmWork out the total area of all six faces of the tunnel.Give your answer in terms of .....................cm2

","这里是一个玩具火车的隧道。下图显示了隧道的横截面。是一个半圆弧，半径为10厘米。是一个半圆弧，半径为7厘米。隧道的长度为30厘米。计算隧道的六个面的总面积。以.....................cm2为单位给出你的答案。

{
  ""Chinese Translation"": ""这里是一个玩具火车的隧道。下图显示了隧道的横截面。是一个半圆弧，半径为10厘米。是一个半圆弧，半径为7厘米。隧道的长度为30厘米。计算隧道的六个面的总面积。以.....................cm2为单位给出你的答案。"",
  ""academic_terms"": {
    ""tunnel"": ""隧道"",
    ""toy train"": ""玩具火车"",
    ""cross section"": ""横截面"",
    ""semicircular arc"": ""半圆弧"",
    ""radius"": ""半径"",
    ""length"": ""长度"",
    ""total area"": ""总面积"",
    ""answer"": ""答案""
  }
}","这里是一个玩具火车的隧道。下图显示了隧道的横截面是一个半圆弧，半径为10厘米是一个半圆弧，半径为7厘米隧道的长度为30厘米计算隧道的六个面的总面积以.....................2为单位给出你的答案

}","{'Chinese Translation': '这里是一个玩具火车的隧道。下图显示了隧道的横截面。是一个半圆弧，半径为10厘米。是一个半圆弧，半径为7厘米。隧道的长度为30厘米。计算隧道的六个面的总面积。以.....................cm2为单位给出你的答案。', 'tunnel': '隧道', 'toy train': '玩具火车', 'cross section': '横截面', 'semicircular arc': '半圆弧', 'radius': '半径', 'length': '长度', 'total area': '总面积', 'answer': '答案'}"
269917,"A savings account pays interest at a rate of  per year.Jack invests £5500 in the account for one year.At the end of the year, Jack pays tax on the interest at a rate of 40%.After paying tax, he gets £79.20Work out the value of .

","一个储蓄账户每年以百分之（rate）的利率支付利息。Jack在该账户中投资了5500英镑，为期一年。一年结束时，Jack按照40%的税率支付利息税。支付税款后，他得到了79.20英镑。计算出(value)的值。

{
  ""Chinese Translation"": ""一个储蓄账户每年以百分之（rate）的利率支付利息。Jack在该账户中投资了5500英镑，为期一年。一年结束时，Jack按照40%的税率支付利息税。支付税款后，他得到了79.20英镑。计算出(value)的值。"",
  ""academic_terms"": {
    ""savings account"": ""储蓄账户"",
    ""interest"": ""利息"",
    ""rate"": ""利率"",
    ""invest"": ""投资"",
    ""tax"": ""税"",
    ""year"": ""年"",
    ""value"": ""值""
  }
}","一个储蓄账户每年以百分之（）的利率支付利息。在该账户中投资了5500英镑，为期一年一年结束时，按照40%的税率支付利息税支付税款后，他得到了79.20英镑计算出()的值

}","{'Chinese Translation': '一个储蓄账户每年以百分之（rate）的利率支付利息。Jack在该账户中投资了5500英镑，为期一年。一年结束时，Jack按照40%的税率支付利息税。支付税款后，他得到了79.20英镑。计算出(value)的值。', 'savings account': '储蓄账户', 'interest': '利息', 'rate': '利率', 'invest': '投资', 'tax': '税', 'year': '年', 'value': '值'}"
266850,"Beth and Mia translate documents from Spanish into English.A set of documents that would take Beth 8 days would take Mia 10 days.Beth starts to translate the documents.After 2 days Beth and Mia both work on translating the documents.How many more days will it take to complete the work?You must show your working.......................days

","贝丝和米娅将西班牙语文件翻译成英语。贝丝完成一组文件需要8天，而米娅需要10天。贝丝开始翻译这些文件。在过去的2天里，贝丝和米娅一起工作来翻译文件。还需要多少天才能完成这些工作？您必须展示您的计算过程.......................天

Chinese Translation: 

贝丝和米娅将西班牙语文件翻译成英语。贝丝完成一组文件需要8天，而米娅需要10天。贝丝开始翻译这些文件。在过去的2天里，贝丝和米娅一起工作来翻译文件。还需要多少天才能完成这些工作？您必须展示您的计算过程.......................天

academic_terms: 

{
  ""translate"": ""翻译"",
  ""documents"": ""文件"",
  ""Spanish"": ""西班牙语"",
  ""English"": ""英语"",
  ""days"": ""天"",
  ""Beth"": ""贝丝"",
  ""Mia"": ""米娅"",
  ""work"": ""工作"",
  ""complete"": ""完成""
}","贝丝和米娅将西班牙语文件翻译成英语。贝丝完成一组文件需要8天，而米娅需要10天贝丝开始翻译这些文件在过去的2天里，贝丝和米娅一起工作来翻译文件还需要多少天才能完成这些工作？您必须展示您的计算过程.......................天

 : 

贝丝和米娅将西班牙语文件翻译成英语您必须展示您的计算过程.......................天","{'translate': '翻译', 'documents': '文件', 'Spanish': '西班牙语', 'English': '英语', 'days': '天', 'Beth': '贝丝', 'Mia': '米娅', 'work': '工作', 'complete': '完成'}"
